"Year protection applied","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1907,"us","Brandl, Adolf
Munich, Germany","wings; human-powered","849,971",4/9/1907,"Flying apparatus","Short's DB","they always have mustaches","Flying apparatus",,1,4/16/1906,,312013,
1907,"us","Bliven, Alonzo P
Brooklyn, NY","LTA; car","850,616",4/16/1907,"Flying-machine","Short's DB","cigar shaped balloon; car with engine, gas tank, and 'saloon'","Flying-machine",,1,12/17/1906,,348305,
1907,"us","Mickley, Benjamin F.
Seneca Falls, NY","airplane; helicopter; propulsion; navigation","851,683",4/30/1907,"Navigable aeroplane","Short's DB","a sort of omnidirectional propelled frame","Navigable aeroplane",,1,5/13/1905,,851683,
1907,"us","Nial, Matthew
Brooklyn, NY","wings","851,895",4/30/1907,"Flying-machine","Short's DB","system of many many wings","Flying-machine",,1,10/14/1905,,282709,
1907,"us","Connolly, Bartholomew
Tonopah, Nevada","airplane; parachute","852,221",4/30/1907,"Flying-machine","Short's DB","Motor-driven, boat-shaped airplane, with several umbrella-parachutes sticking up out of it","Flying-machine",,1,4/13/1906,,311449,
1907,"us","Orgren, Tony
San Diego, CA","LTA; propulsion","852,292",4/30/1907,"Aerial vessel","Short's DB","paddle wheels","Aerial vessel",,1,9/21/1905,,249499,
1907,"us","Gruber, Ignace
New York, NY","LTA: navigation","855,945",6/4/1907,"Sustaining device for aerial vessels","Short's DB","classic balloon-and-basket setup; operator can navigate by selecting different nozzles into the balloon from the basket","Sustaining device for aerial vessels",,1,2/23/1907,,358935,
1907,"us","Lewitz, Reinhold (German citizen)
New York, NY","airplane; stability; navigation","856,073",6/4/1907,"Flying-machine","Short's DB","Turns a number of wheels, including some for balance, by pumping air through light tubes","Flying-machine",,1,6/13/1906,,321428,
1907,"us","Bell, Alexander Graham & Hector P. McNeil
Washington, DC","kite","856,838",6/11/1907,"Connection device for the frames of aerial vehicles and other structures","Short's DB","frame improvement for tetrahedral and polyhedral kites","Connection device for the frames of aerial vehicles and other structures","US770626 (1904)",1,10/24/1906,,340398,
1907,"us","Merrick, Lycortes D
New York, NY","LTA; propulsion; stability; navigation; brakes","856,895",6/11/1907,"Aerial vessel","Short's DB","multiple adjustable paddle wheels; multiple breaks, one of which can be turned horizontally as a brake","Aerial vessel",,1,5/23/1905,,318335,
1907,"us","Phillips, Williams
Chicago, IL","wings; propulsion; landing","856,910",6/11/1907,"Flying machine","Short's DB","wings on a spindle; four legs for standing","Flying machine",,1,8/1/1905,,272146,
1907,"us","Felts, Fletcher Edward
Los Angeles, CA","LTA; wings; navigation","857,166",6/18/1907,"Flying-machine","Short's DB",,"Flying-machine",,1,2/19/1906,,301742,
1907,"us","Wilson, John H.
Carlisle, PA","LTA; stability; landing; navigation","859,274",7/9/1907,"Flying-machine","Short's DB",,"Flying-machine",,1,7/9/1907,,314697,
1907,"us","Cook, William Harvey
Edmonds, WA","Airplane","860,447",7/16/1907,"Flying-machine","Short's DB",,"Flying-machine",,1,3/6/1906,,304470,
1907,"us","Mahan, Frank M
Chicago, IL","LTA; wings; navigation","861,133",7/23/1907,"Aerial navigator","Short's DB","steering device connected by cords to wings","Aerial navigator",,1,8/21/1906,,275013,
1907,"us","La Penotiere, Edward M
Minneapolis, MN","helciopter; wings","861,740",7/30/1907,"Flying-machine","Short's DB","big central propellor in the middle of the device for lift","Flying-machine",,1,7/30/1907,,349293,
1907,"us","O'Brate, Anthony
Enid, Oklahoma Territory","airplane; stability","866,672",9/24/1907,"Flying-machine","Short's DB",,"Flying-machine",,1,2/24/1906,,302821,
1907,"us","O'Brate, Anthony
Enid, Oklahoma Territory","LTA; human-powered","866,673",9/24/1907,"Flying-machine","Short's DB","bicycle pedals","Flying-machine",,1,5/17/1906,,317334,
1907,"us","O'Brate, Anthony
Enid, Oklahoma Territory","airplane; stability","867,525",10/1/1907,"Flying-machine","Short's DB",,"Flying-machine",,1,12/21/1906,,348991,
1907,"us","Uherkócz, Julius Uherkovich de Binghamton, NY","wings","868,038",10/15/1907,"Mechanism for winged flying-machines or air-ships","Short's DB",,"Mechanism for winged flying-machines or air-ships",,1,4/3/1907,,366103,
1907,"us","Uherkócz, Julius Uherkovich de; Binghamton, NY","navigation; stability","868,039",10/15/1907,"Steering-gear for winged flying-machines or air-ships","Short's DB","Fan-shaped rudder/stabilizer","Steering-gear for winged flying-machines or air-ships","US868038 (1907)",1,4/3/1907,,366104,
1907,"us","Roshon, John W
Habrisburg, PA","Propulsion","868,488",10/15/1907,"Flying-machine","Short's DB","propellors mounted on sparse frame above basket","Flying-machine",,1,3/26/1907,,364663,
1907,"us","Pursell, John D
Chattanooga, TN","airplane; stability","869,019",10/22/1907,"Flying-machine","Short's DB","sliding seat for operator allows weight/balance adjustment","Flying-machine",,1,4/2/1907,,365963,
1907,"us","Connolly, Bartholomew
Tonopah, Nevada","Propulsion","870,936",11/12/1907,"Aerial machine","Short's DB","wings' are more like umbrellas that open and close","Aerial machine",,1,4/1/1907,,365768,
1907,"us","Gathmann, Louis
Washington, DC; ¼ assigned to Emil Gathmann of Bethlehem, PA","propulsion; cargo","871,926",11/26/1907,"Air-propeller for flying-machines","Short's DB","“Extensive experiments which have extended over a period of a number of years have convinced me that the key to successful flying machines is a propeller of high efficiency. A propeller consisting of rotary aero-planes on the lines shown and described has","Air-propeller for flying-machines",,1,3/6/1907,,360818,
1907,"us","Ashley, Freeland B
Kansas City, MO","propulsion; navigation","872,778",12/3/1907,"Aerial Vessel","Short's DB",,"Aerial Vessel",,1,12/26/1906,,349397,
1907,"us","Halliday, George; 45/100 assigned to Edmond Joseph St. Onge
Superior, Wisconsin","Propulsion","873,542",12/10/1907,"Aerial Vessel","Short's DB",,"Aerial Vessel",,1,5/9/1907,,372652,
1908,"us","Benedict, George H
Chicago, IL","airplane; takeoff; landing; parachute","879,848",2/25/1908,"Aeroplane","Short's DB","concerns configuration of aeroplanes; also includes 'parachutes'","Aeroplane",,1,3/13/1907,,363079,
1908,"us","Halle, William (German)
Union, NJ","LTA; navigation","881,184",3/10/1908,"Flying-machine","Short's DB","rudder attached to vertical shaft controlled by steering wheel","Flying-machine",,1,11/4/1907,,400536,
1908,"us","Warner, Everett E
Hartford, CT","wing; aerodynamics","881,836",3/10/1908,"Wing for flying-machines","Short's DB","top of the wing has flaps that can open","Wing for flying-machines",,1,6/22/1907,,380269,
1908,"us","Whitehead, Gustave,
Bridgeport, CT; ½ assigned to Stanley Yale Beach, Stratford Connecticut","glider; wings; stability","881,837",3/10/1908,"Aeroplane","Short's DB",,"Aeroplane",,1,12/20/1905,,292614,
1908,"us","Drake Edwin L
Winchester, TN","Airplane","882,189",3/17/1908,"Flying-machine","Short's DB","hooded propellors","Flying-machine",,1,3/25/1907,,364240,
1908,"us","Whalen, Thomas J
Middlebrook, VA","airplane; propulsion; navigation","882,435",3/17/1908,"Flying-machine","Short's DB",,"Flying-machine",,1,10/13/1906,,338781,
1908,"us","Ernst, Emil Robert (German)
Warrenpoint, NJ","airplane; stability; propulsion","882,457",3/17/1908,"Flying-machine","Short's DB","mostly closed body with propellors; basket","Flying-machine",,1,4/30/1907,,371058,
1908,"us","Cragun, Homer J
Logansport, Indiana","airplane; propulsion","883,090",3/24/1908,"Flying-machine","Short's DB",,"Flying-machine",,1,3/6/1907,,883090,
1908,"us","Pars, Wiltje (Dutch)
Seattle, WA","Airplane","883,565",3/31/1908,"Aero-tube","Short's DB",,"Aero-tube",,1,10/29/1907,,399695,
1908,"us","Vaniman, Melvin
Genevilliers, France","airplane; parachute; car","884,432",4/14/1908,"Aeroplane","Short's DB",,"Aeroplane",,1,4/14/1908,,345394,
1908,"us","Guthrie, Bauard; ½ assigned to Joseph P. Karch
Pittsburg, PA","airplane; wings","886,122",4/28/1908,"Flying-machine","Short's DB","folding wings","Flying-machine",,1,10/31/1907,,400106,
1908,"us","Sellers, Matthew B
Baltimore, MD","kite; navigation","886,159",4/28/1908,"Aerial apparatus","Short's DB",,"Aerial apparatus",,1,7/24/1907,,385323,
1908,"us","Fiesse, Charles J A
Washington, DC","LTA; car; landing; stability","887,931",5/19/1908,"Aerial apparatus","Short's DB","LTA ship with sails; several redundancies & safety measures; note delayed approval time (& relatedly it's one of the small number of patents still concerning LTA)","Aerial apparatus",,1,10/31/1901,,80680,
1908,"us","Judson, Fred I
Houston, TX","airplane; propulsion","888,618",5/26/1908,"Aeroplane","Short's DB","uses 'centrifugal blowers'","Aeroplane",,1,1/3/1908,,409108,
1908,"us","Sweeney, Francis Raymond
Anderson, SC","airplane; stability","889,062",5/26/1908,"Flying-Machine","Short's DB","gyroscope, rudder","Flying-Machine",,1,9/6/1907,,391608,
1908,"us","Beatty, Decatur D
San Francisco, CA","airplane; navigation; takeoff","889,502",6/2/1908,"Flying-machine","Short's DB",,"Flying-machine",,1,9/20/1907,,393838,
1908,"us","Chance, Oliver K
Minneapolis, MN","LTA; propulsion","890,215",6/9/1908,"Flying-machine","Short's DB","LTA with propulsion but styles itself an airplane, as seems to be fashionable this year","Flying-machine",,1,11/4/1907,,400482,
1908,"us","Wiszcewsky, Stanislaus von
New York, NY","airplane; wings","890,483",6/9/1908,"Flying-machine","Short's DB",,"Flying-machine",,1,6/26/1907,,380892,
1908,"us","Mumford, Edwin R
Dumbarton, Scotland","Aerodrome; propulsion","892,380",6/30/1908,"Flying-machine","Short's DB","Multi-propellor frame (“aerodrome”?)","Aerodrome or flying-machine","US ser# 300752",1,7/11/1906,,325711,
1908,"us","Barrow, Elbert, Los Angeles, CA; Charles A. Moore
Cahuenga, CA","LTA; propulsion; navigation; aerodynamics","892,606",7/7/1908,"Aerial navigation","Short's DB","propellors can be positioned to cancel each other out along certain vectors; also textured for aerodynamics","Aerial navigation",,1,1/22/1907,,353560,
1908,"us","Pennington, Edward J
Cleveland, OH","takeoff","893,647",7/21/1908,"Launching and trial apparatus for aerial craft","Short's DB","towers for suspending & testing aerial vessels","Launching and trial apparatus for aerial craft",,1,1/22/1904,,190179,
1908,"us","Warner, Everett E.
Hartford, CT","airplane; kite","893,887",7/21/1908,"Aeroplane","Short's DB","airplane with kite attached","Aeroplane","US881836 (1908",1,4/1/1908,,424582,
1908,"us","Wilson, Alexander V
Bar Harbor, ME","airplane; wings; navigation","897,504",9/1/1908,"Flying-machine","Short's DB",,"Flying-machine",,1,10/31/1906,,341418,
1908,"us","Gordon, Winne
Sharon Springs, NY; ½ assigned to Worthie E. Colyer, Argusville NY","helicopter; propulsion; navigation","897,738",9/1/1908,"Flying-machine","Short's DB","propellors can be angled for horizontal or vertical motion","Flying-machine",,1,4/28/1906,,314176,
1908,"us","Wolf, Davis Levi
Archer City, TX","Propulsion","898,081",9/8/1908,"Propelling device for aerial ships","Short's DB","device for moving air through tubes; attachable to another ship (or, seemingly, bird)","Propelling device for aerial ships",,1,9/8/1908,,423198,
1908,"us","Steinhaus, Ewald E
Chicago, IL","airplane; takeoff","899,350",9/22/1908,"Dirigible flying-machine","Short's DB",,"Dirigible flying-machine",,1,4/20/1907,,369215,
1908,"us","Friedel, Albert Hugo
Cleveland, OH","Aerodrome; propulsion","900,844",10/13/1908,"Flying-machine","Short's DB","V-shaped array","Flying-machine",,1,10/23/1905,,284038,
1908,"us","Schiller, Harry B
Reading, PA","LTA; stability; parachute","901,486",10/20/1908,"Flying-machine","Short's DB","LTA balloons with many 'aeroplanes' for stability & lift","Flying-machine",,1,6/13/1907,,373688,
1908,"us","Cornu, Jules & Paul
Lisieux, France","propulsion; stability; navigation","902,859",11/3/1908,"Flying-machine","Short's DB","pendulum acts as stabilizer; array of movable planes","Flying-machine",,1,9/11/1906,,334171,
1908,"us","MacDuff, James B
Brooklyn, NY","Aerodrome; ropulsion","905,547",12/1/1908,"Flying-machine","Short's DB","propellors and air blasts; frame with wheels","Flying-machine",,1,4/16/1908,,427502,
1908,"us","Gignilliat, Thomas H
Savannah, GA","airplane; takeoff; aerodynamics","906,406",12/8/1908,"Aeroplane flying-machine","Short's DB","big vessel with a series of small aeroplanes that can go together smoothly or diverge","Aeroplane flying-machine",,1,12/13/1906,,906406,
1908,"us","Booth, Henry Shepley
Manchester, England","airplane; navigation; stability; wings","907,120",12/22/1908,"Aerial machine","Short's DB",,"Aerial machine",,1,4/26/1904,,205052,
1908,"us","Booth, Henry Shepley
Manchester, England","wings","907,310",12/22/1908,"Aerial machine","Short's DB",,"Aerial machine",,1,7/27/1906,,326132,
1909,"us","Wright, Orville & Wilbur 
Dayton, OH","navigation","908,929",1/5/1909,"Mechanism for flexing the rudder of a flying-machine or the like","Short's DB","flexible rudder","Mechanism for flexing the rudder of a flying-machine or the like","US821393 (1906)",1,7/15/1908,,443718,
1909,"us","Bernard, John
Richmond, VA","propulsion; parachute","910,488",1/26/1909,"Aerial navigating apparatus","Short's DB",,"Aerial navigating apparatus",,1,6/30/1908,,441061,
1909,"us","Bea, Heinrich (German: Württemberg)
Jersey City, NJ","Aerodrome; car; landing","910,773",1/26/1909,"Flying-machine","Short's DB",,"Flying-machine",,1,7/3/1908,,441906,
1909,"us","Valentine, Walter D
Altadena, CA","airplane; wings; landing","911,784",2/9/1909,"Flying-machine","Short's DB","outer casing like extruded triangle; wing array; landing gear made of telescoping tubes","Flying-machine",,1,4/30/1907,,371111,
1909,"us","Lake, Christopher John 
Bridgeport, CT
& Spencer Heath 
Washington, DC","LTA; navigation; propulsion","913,517",2/23/1909,"Aerial vessel","Short's DB",,"Aerial vessel",,1,10/27/1907,,390390,
1909,"us","Mueller, Henry
St. Louis, MO","propulsion; helicopter; aerodrome","914,969",3/9/1909,"Aeroplane","Short's DB",,"Aeroplane",,1,10/31/1908,,460530,
1909,"us","Strzelecki, Max (German)
San Francisco, CA","LTA; wings","916,626",3/30/1909,"Flying-machine","Short's DB","LTA gas stored within the wings and tail","Flying-machine",,1,3/12/1908,,420639,
1909,"us","Adams, Malcolm Grover
Parsons, KS","airplane; navigation; stability","917,513",4/6/1909,"Flying-machine","Short's DB","two planes, with the upper adjustable","Flying-machine",,1,8/7/1908,,447400,
1909,"us","Dressler, Rudolph G
Coney Island, NY","wings; human-powered","919,834",4/27/1909,"Flying-machine","Short's DB","operator stands upright on a platform","Flying-machine",,1,7/1/1908,,441334,
1909,"us","Romme, William S; ½ assigned to Walter I. Plunkett
New York, NY","aerodrome; propulsion; stability; navigation","920,085",4/27/1909,"Aeroplane","Short's DB","“bell-shaped” (airplane? Helicopter? “aerodrome”?)","Aeroplane",,1,12/18/1908,,468122,
1909,"us","Filippi, Antoine Padoue
Paris, France","airplane; aerodynamics","920,554",5/4/1909,"Surface of ascension or aeroplane for flying-machines","Short's DB","Planes have bent edges","Surface of ascension or aeroplane for flying-machines",,1,9/10/1907,,392195,
1909,"us","Culver, Charles R
Springfield, MA","LTA","922,264",5/18/1909,"Flying-machine","Short's DB","with an aeroplane array","Flying-machine",,1,3/20/1907,,363358,
1909,"us","Means, James 
Boston, MA","electronics","922,709",5/25/1909,"Signaling apparatus for aerial machines","Short's DB","circuit triggers magnets which darkens exhaust for a time — notably for a short or a long time, thereby yielding Morse code","Signaling system",,1,7/1/1908,,441313,
1909,"us","Means, James 
Boston, MA","takeoff","922,710",5/25/1909,"Apparatus for launching flying-machines","Short's DB",,"Apparatus for launching flying-machines",,1,8/20/1908,,449433,
1909,"us","Means, James 
Boston, MA","takeoff","922,711",5/25/1909,"Apparatus for launching flying-machines","Short's DB","Table with guide-rails; more elaborate than US922711","Apparatus for launching flying-machines",,1,8/25/1908,,450171,
