Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
Pacific Aero Club,Local,"ACA, from at least 1911",USA,"San Francisco, California","Pacific Building, San Francisco (1911-1915); Palace of Transportation, Panama-Pacific International Exposition, San Francisco (1916); Mills Building, San Francisco (at least 1917);  Monadnock Building, San Francisco (at least 1919-1920)",0,0,1909,1920 or later,"1909 SF Chronicle, 12, 17, 19,  & 26 May; 18 Jun.; 19 Aug.; 8 Oct. and 29 Dec.; 5 Aeronautics 12 (1909); 1910 SFC, 10 Apr.; 2:11  7 Aeronautics 12 (1910); 24 Sunset 259-269 (1910); Flying 34 (1913); 5 Flying 250  (1916); 6 Flying 498 (1917); 8 Flying 549 (1919); 9 Flying 50 (1920);LOC OPAC; ACA annuals (1911-1917, 1919); Goodyear 11 (1919); WorldCat.org and WorldCat-OCLC; Dir1920; ","The Pacific Aero Club was organized in San Francisco 11 May 1909.  From the start, members had an interest in offering prizes to the makers of the latest type of flying machines.  From 19-21 May, sponsored contests for model flying machines at the San Francisco auditorium.  By the 25th of May, the California Balloon Club, at its request, had been granted affiliation with the Pacific Aero Club, which was given two seats on the board of the balloon club.  Sponsored an exhibit of biplanes, airships, and gliders, including several lectures, in August 1909 and a balloon race with the Oakland Aero Club was held in October 1909.  At its meeting 28 Dec. 1909, members of the Pacific Aero Club adopted articles of incorporation so the club could affiliate with the Aero Club of America.  In March 1910, Sunset reported that almost to a man, the Aero Club members were toilers in heavier-than-air machines and had relegated ballooning to the realm of futility.  Published the periodical Western Flight, 1913.    ","Initial officers elected in 1909 included J. C. Irvine, president; Charles C. Bradley, vice president; Cleve T. Shaffer, secretary; and Joseph M Masten, treasurer.  The board included three professors, Bruno Heymann, Joseph Hidalgo, and George A. Merrill.  The club was composed of local enthusiasts with leisure time to devote to the study of aerial navigation and many of them had their own machines.  Members were said to include capitalists, professional men, mechanics, scholars, and dilettantes.   At least in the beginning, the club met weekly; its meeting place was the boardroom of Crocker National Bank.  One plan to stimulate the interest of members who did not own balloons or flying machines was the giving of a prize by Professor Hidalgo for models; Hidalgo also offered a prize for the construction of model aeroplanes by school children.  The club had about 100 members by March 1910, many of whom had built and/or were engaged in building flying machines.   ", 
Paddington and Districts Aero Club,Local,,"England, GB, UK",Wembley,"77 Swinderby Road, Wembley",,,1912 or earlier,,1913 Aviation P-B 163 (Jan. 1913);,,,
Palmer's Green and District Model Aero Club,Local,,"England, GB, UK","Palmer's Green, Enfield","15 Moffat Road N, Palmer's Green, Enfield",,,1912 or earlier,,1913 Aviation P-B 163 (Jan. 1913);,,,
Palo Alto Aero Club,Local,,USA,"Palo Alto, California",,,,1910 or earlier,,"1910 Aircraft, 1 Sept.",,,
Pan-American Aeronautic Federation : Federation Panamericana de Aeronautica,Sub-International,, , , ,0,0,1920 or earlier,1920 or later,Dir1920,,,
Paris League Against Excess of Aviation,Local,,France,"Paris, France",,,,1909 or earlier,,"1909 Detroit Free Press, 23 May","The Paris League Against Excess of Aviation, founded sometime prior to late May 1909, predicted that crops will suffer, birds will disappear, revenue will diminish, architectural treasures will be endangered, and only crime will prosper through the coming of the flying machine.  The League by then had proposed a list of rules that society should make law, including:  1) that no aeroplane shall fly at a speed of more than 20 miles an hour; 2) that descents on military or cultivated land or on pleasure grounds shall be prohibited; and 3) that aeroplanes shall be taxed at a tariff on one-tenth of a penny per square centimeter of their surface.",,
Parisian Society of Balloonists : Société des aéronautes parisiens,Local,,France,,,,,1894,,2004 Cailliez 198; http://www.archives.nantes.fr/PAGES/DOSSIERS_DOCS/aerostats_nantais/pages/evolution_aerostats.html,"Society for ballooning, presumably",,
Pawtucket Aeronautical Association,Local,,USA,"Pawtucket, Rhode Island",,,,1911,,"1911 Christian Science Monitor, 20 Jan. ","The Pawtucket Aeronautical Association, Pawtucket, Rhode Island, was formed in January 1911.  The club planned to arrange a series of lectures.",The club ws formed with some 25 members.,
Permanent International Aeronautic Commission : Commission Permanente Internationale d’Aeronautique,"International, Scientific",,France,Paris,"Office social, 44 Rue de Rennes, Paris (from 1901 to at least 1906-1907); Secretariat, 2 Avenue de la Bourdonnais, 7me Arr. (from 1901 to ?).  Then at the 244 Boulevard Saint-Germain, Paris (1910) ",,,1900,,"Rotch, ""The International Congress of Aeronautics,"" in 6 Report of the Commissioner-Gereral for the U.S. to the International Universal Exposition, Paris, 1900 (USGPO: 1901),346-349; Commission Permanente Internationale d’Aeronautique, Proces Verbal  8 Dec1901-28 Oct 1903;  P-B of Aeronautics 437-439 (Eng. ed., Jan. 1907); 1:5 Aeronautics 42 (1907); 1:6 Aeronautics 37 (1907); 1911 Aero-Manuel 270, 488-489, 493 (1 Oct. 1910)","The Commission Permanente Internationale d’Aeronautique (Permanent International Aeronautical Commission) was founded in September 1900 by resolution of the 2nd International Congress of Aeronautics at Paris to advance the progress of aeronautics by scientific advice.  The Commission's first meeting was 8 Dec. 1900 in Paris at the Palais de l'institut at which time it established a sub-commission for licensing aeronauts that, on 19 Dec. 1900, proposed requirements and examination for licensing civil and military balloonists world-wide.  The Commission was regulated by statutes published in 1901.  It stayed based in Paris where it met several times each year and focused on internationalizing the regulations regarding flight.  The original offices social were in the building of the Societe for the Encouragement of French Industries : Societe d’Encouragement pour Industrie Nationale and it appears to have moved from there to the building of the [Paris] Ministry of Public Works : Ministere des Travaux Publics. ","The 1st  International Congress of Aeronautics met in 1889 at the International Universal Exposition in Paris and the second Congress met when the Exposition returned to Paris in 1900.  The original Commission Permanente Internationale d'Aeronautique was 33 members, including the general officers of the 2nd International Congress; representatives from Austria, Belgium, Great Britain, Germany, Italy, Russia, Switzerland, and the U.S., and 10 members from France.  Officers named 8 Dec. 1900 were Col. Paul Renard, president; Le Chevalier Pesce, vice president; and Edouard Surcouf, secretary.    Membes of the Commission received the right to elect other members and to appoint subcommittees for special subjects.  The initial U.S. representative was A. Lawrence Rotch, director of the Blue Hill Observatory, Hyde Park, Mass.  By June 1906, the Commission had some 42 members.  By October 1910, there were some 60 members in addition to 10 officers and four honorary presidents.     ",
Philadelphia Aeronautical Recreation Society,Local,,USA,"Philadelphia, Pennsylvania", ,,,1908,1910,"2:4 Aeronautics 39 (Apr. 1908); 15 Automobile Topics 1905 (1908); 3:1 Aeronautics 47 (July 1908); 3:3 Aeronautics 33 (Sept. 1908); 15 Automobile Topics 4 Aeronautics 12 and 86 (1909); 5 Aeronautics 5 and 12 (1909); 1910 NYT 3, 18, 23 & 25 June; www.aeroclubpa.org/history.html;","The Philadelphia Aeronautical Recreation Society was organized in March 1908.  Recreation, not scientific research, was the objective of this ballooning society.  Membership was to be restricted to amateurs only and women were to be included in the membership.  Indeed, the society boasted that it was the first of its kind in the United States to afford equal privileges to women and soon after being formed there were more women than men as members.  Was one of the 10 to 12 founders of the American Aeronautical federation, 22 June 1910, which see.  By the end of 1910, had merged with the Aero Club of Pennsylvania, which see. ","The Philadelphia Aeronautical Recreation Society was organized at the Philadelphia home of Dr. Thomas Edwin Eldridge.  Eldridge was elected president.  Other initial officers included Dr. George H. Simmerman, Miss Nevill, and Dr. Eli S. Berry, vice presidents; Mrs. M. E. Lockington, secretary; and Thomas Rose, treasurer.  Eldridge and Simmerman were identified as the otganizers; both were members of the Ben Franklin Aeronautical Society and the Ben Franklin Balloon Association close corporation in Philadelphia.  All officers were reelected in 1909.  The first ascent in the club's 50,000 cubic foot balloon, the Philadelphia, on 27 June, lasted 20 minutes before ending in a crash landing, fortunately on a mud bank, due to three large rents in the muslin bag.  It was replaced in with the 55,000 cubic foot Philadelphia II, built in the factory of aeronaut Leo Stevens in New York, which was christened on 29 May 1909.  Simmerman, often referred to as Zimmerman, was vice president in 1910.   About 100 people attended the society's banquet at the Hotel Majestic in December 1908 and shortly thereafter, an active membership of 75 was reported.  A Philadelphia club, not identified, had 30 members in June 1910.  ", 
Physical Socirty in Frankfurt am Main : Physikalischer Verein im Frankfurt am Main,Local,,Germany,Frankfurt am Main,"33 Stifstrasse, Frankfurt am Main (1907)",,,1907 or earlier,,1:5 Aeronautics 43; 1:6 Aeronautics 38 (1907),[more research needed],,[want to see if anything but Aeronautics calls this an aeronautic association] more research needed
Point Richmond Aero Club,Local,,USA,"Point Richmond, California",,,,1909 or 1910 ?,,"1909 SF Chronicle, 12 Nov.","It was reported on 12 Nov. 1909 that the orgnization of a Point Richmond Aero Club was near.  Assistance in this was to be provided by the Oakland Aero Club, which was expected to provide a balloon and an aeronaut for a balloon ascension during the Port Richmond Carnival the next week.  (We are trying to determine whether the club was organized.)  ",,
Pomeranian Association for Aerial Navigation : Pommerscher Verien fur Luftschiffahrt, Regional,"DLV, 1908",Germany,Stettin,"1 Grosse Domstrasse, Stettin (at least 1910-1911); balloon place at Stadtischen Gasanastalt, Zabelsdorf (1911)",,,1908,,1911 Aero-Manuel 352 (1 Oct. 1910); Braunbeck's Sport-Lexicon: Luftschiffahrt 141 (1911),"The Pommerscher Verien fur Luftschiffahrt or Pomeranian Association for Aerial Navigation (Pm. V.) was founded at Stettin on 16 Jan. 1908.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, in 1908.  A Pommerania section of the Association, which see, was founded at Greifswald on 21 Aug. 1908.   ","In 1911, von Bruning was chairman and G. Manasse was vice chairman.  There were 241 members including 18 balloon guides.  The association owned one free balloon and used the Stadtishen Gasanstalt (Municipal Gasworks) of the village of Zabelsdorf as its balloon place.",
"Pomeranian Association for Aerial Navigation, Pomerania Section : Pommerscher Verien fur Luftschiffahrt, Sektion Voerpommern ",Local,"DLV, through parent",German,Greifswald,,,,1908,,Braunbeck's Sport-Lexicon: Luftschiffahrt 141 (1911),"The Pommerscher Verien fur Luftschiffahrt or Pomeranian Association for Aerial Navigation (Pm. V.), which see, was founded at Stettin on 16 Jan. 1908.   It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, in 1908.  A Sektion Vorpommern des Pommerschen Verein fur Luftschiffahrt or Pommerania Section of of the Association was founded at Greifswald on 21 Aug. 1908.   ","In 1911, Professor Dr. Halben was chairman and Major von Bulow was vice chairman of the section.",
Portsmouth Aero Club,Local,,"England, GB, UK",Portsmouth,"The Admiral's Head, Kingston Crescent, Portsmouth (1910-1912)",,,1910 or earlier,," ""Flight ""Manual 14 (1910); 1913 Aviation P-B 163 (Jan. 1913);",,,
Posen Association for Aerial Navigation : Posener Verein fur Luftschiffahrt,Local,"DLV, Dec. 1903","West Prussia, Germany",Posen (Poznan),"10 Gartenstrasse II, Posen (at least 1906-1907); 8 Thiergartenstrasse (at least 1910-1911); balloon place at Stadtisches Gasanstalt, Posen (1911) ",,,1903,,"P-B of Aeronautics 440 (English ed., Jan. 1907); 1:5 Aeronautics 43 (1907); 1:6 Aeronautics (1907); ACA annual (1907); 1911 Aero-Manuel 352 (1 Oct. 1910); Braubeck's Sport-Lexikon: Luftschiffahrt 142 (1911)","The Posener Verein fur Luftschiffahrt or Posen (Poznan) Association for Aerial Navigation was founded 2 Dec. 1903 in Posen (Poznan), West Prussia, Germany.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, in December 1903.  Its first balloon ascent was 19 Dec. 1903.  "," Membership in April 1906 was  83, including 9 aeronauts.  The chairman in 1910-1911 was Dr. Witte and Professor Dr. Spies was vice chairman.  There were 229 members. Including 16 balloon guides.  The Stadtisches Gasanstalt (Municipal Gasworks) at Posen was used as a balloon place.",
Postal Aero Club,"Internatonal, Special Interest",,USA,"San Jose, California","Factory, 305 W. Santa Clara Street, San Jose",,,1909,,"5 Aeronautics 240 (1909); 1910 NYT, 18 June;","In late 1909, the Postal Aero Club was reported to be building a 75,000 cubic foot capacity balloon at a factory in San Jose, California.  Safety being the first consideration, there was to be an extra covering over the entire upper half of the balloon forming a parchute that would always be open. ","Early members came from all over the United States as well as Canada, England, Scotland, and India.",
Practical Aviation : L'Aviation Pratique, ,,France,Paris,"8 Rue de la Grange, Bateliere",,,1910 or earlier,,1911 Aero-Manuel 235 and 425 (1 Oct. 1910); LOC OPAC,"A partnership or society for those experienced in aviation for the popularization of the aeroplane.  This is at the same address for what the 1909 Motor Cyclopaedia Yearbook calls L'Aviation Francaise so we suspect that all references are to the same organization.  Also at this same address, the Revue de L'Aviation, founded 1906, was published.  ",,,
Princeton University Aero Club,University,,USA,"Princeton, New Jersey",,,,1910,,"1910 NYT, 16 & 27 Apr., 1 May, and 23 June;","The Princeton University Aero Club was organized 15 Apr. 1910 at which time officers were elected and a committee was appointed to draw up a constitution.  Members were planning to host a balloon accension by New York aeronaut Clifford B. Harmon and a model contest in the spring.  The Princeton club was a founding member of the American Intercollegiate Association of Aero Clubs, 30 Apr. 1910. ","Initial officers included Julian F. Thompson, president; P. C. Smith, treasurer; and C. McCormick, secretary.  Over 20 members were reported at the inception in April 1910.",,
Professional Association for the Aviation Sector : Berufsverband fur das Luftfahrwesen,,,Germany,Berlin,"Motzstrasse 8, Berlin (1920)",0,0,1920 or earlier,1920 or later,Dir1920, ,,,
Queen City Aero Club,Local,"ACA, from at least 1913, Dec.",USA,"Cincinnati, Ohio","3228 Harrison Avenue, Cincinnati (1914); 3128 Mozart Avenue (at least 1915-1917); 4014 Thirtieth Avenue, Cincinnati (at least 1919-1920)",0,0,1913 or earlier,1920 or later,"ACA annuals (1914-1917, 1919); 2:11 Flying 34 (1913); 5 Flying 250 (1916); 6 Flying 498 (1917); 8 Flying 549 (1919); 9 Flying 50 (1920); Goodyear 11 (1919); Dir1920;",,,,
